Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price
1667147,CUSHION,0.75,SI2,G,EX,EX,GD,N,5.7,4.86,3.29,2296.25
1786495,EMERALD,0.41,IF,G,EX,EX,GD,N,4.89,3.61,2.43,1273.53
200722-12,CUSHION,1.7,SI1,H,EX,EX,EX,N,6.9,6.75,4.55,13164.25
1649864,ROUND,0.51,SI2,J,EX,EX,EX,M,5.07,5.1,3.18,1508.15
1658975,EMERALD,0.5,SI1,I,EX,VG,VG,N,5.34,3.86,2.53,1199.94
211003-1098,CUSHION,1.09,SI1,J,EX,EX,EX,ST,6.43,5.45,3.7,2991.07
1671477,CUSHION,0.7,SI1,D,EX,EX,VG,F,5.28,4.83,3.24,2600.76
212019-271,PEAR,1.0,VVS2,F,GD,EX,VG,F,8.23,5.46,3.55,7178.84
1652378,ROUND,0.5,SI1,H,VG,EX,VG,F,4.92,4.99,3.16,2100.82
202233-480,CUSHION,0.96,SI2,I,EX,EX,VG,N,5.57,5.43,3.7,2870.92
1755558,EMERALD,0.33,VS1,D,EX,VG,VG,F,5.03,3.25,2.04,926.93
1754042,ROUND,0.35,VVS1,G,EX,EX,EX,F,4.55,4.58,2.74,1382.59
1789927,HEART,0.3,VS2,E,VG,EX,GD,N,4.01,4.73,2.72,1022.45
1686032,ROUND,0.66,I1,F,EX,EX,EX,F,5.68,5.71,3.38,1529.25
1639020,ROUND,0.5,VS2,G,GD,VG,VG,N,4.87,4.93,3.21,2113.06
1795943,MARQUISE,0.3,VS1,D,VG,VG,VG,N,6.55,3.61,2.12,1044.25
1787991,MARQUISE,0.5,VS2,D,EX,EX,EX,F,8.82,4.03,2.33,2010.47
1777721,PRINCESS,0.51,SI1,G,EX,EX,VG,N,4.56,4.47,3.04,1551.61
1638117,CUSHION,0.73,SI1,D,EX,EX,VG,N,5.12,4.98,3.39,2486.84
1663713,ROUND,0.5,VVS2,I,EX,EX,EX,F,5.06,5.08,3.18,2337.0
1654385,PRINCESS,0.59,VVS2,K,EX,EX,VG,N,4.56,4.53,3.28,1433.29
1651827,PRINCESS,0.59,VS2,J,EX,EX,VG,F,4.52,4.44,3.23,1432.27
1798880,PRINCESS,0.3,VVS1,E,EX,EX,VG,N,3.84,3.79,2.7,1060.0
1789050,EMERALD,0.34,VVS2,E,EX,VG,VG,N,4.72,3.44,2.23,1155.08
1635589,ROUND,0.5,SI1,M,EX,EX,EX,N,5.02,5.05,3.17,1124.75
1779352,ROUND,0.4,VVS2,I,EX,EX,EX,N,4.66,4.7,2.95,1521.83
1797566,PRINCESS,0.3,VVS1,E,EX,EX,VG,N,3.77,3.71,2.53,1038.25
1800169,OVAL,0.5,SI1,D,VG,EX,VG,N,6.05,4.43,2.8,1746.62
1634071,CUSHION,0.82,VVS2,J,EX,EX,VG,N,5.57,5.07,3.43,2030.12
1779952,OVAL,0.35,VS1,E,EX,EX,VG,N,5.78,3.98,2.45,1111.09
1790510,ROUND,0.5,SI2,E,VG,EX,VG,N,5.05,5.1,3.13,2020.46
1784060,PRINCESS,0.5,VS1,I,EX,EX,GD,N,4.38,4.38,3.17,1588.74
1735496,ROUND,0.53,SI2,G,EX,EX,EX,N,5.25,5.28,3.18,2080.19
1797722,ROUND,0.5,VVS1,E,GD,EX,GD,M,4.97,5.01,3.23,2077.86
1660176,CUSHION,0.5,VS2,G,EX,EX,GD,F,4.52,4.5,3.02,1416.14
1800349,PRINCESS,0.51,SI1,J,EX,EX,GD,N,4.48,4.46,3.18,1272.38
1790439,ROUND,0.5,SI1,F,EX,EX,EX,F,5.19,5.2,3.11,2347.68
1785489,PEAR,0.7,SI1,J,EX,EX,VG,F,7.74,4.8,3.0,2319.63
1775881,ROUND,0.5,VVS2,J,EX,EX,EX,N,5.11,5.14,3.18,2074.68
200744-40,CUSHION,1.01,SI2,H,EX,EX,EX,N,5.75,5.61,3.79,3590.27
1786294,ROUND,0.4,VVS2,I,EX,EX,EX,N,4.71,4.74,2.95,1533.95
1791006,EMERALD,0.52,VS2,J,EX,VG,VG,N,5.35,3.87,2.64,1281.09
1606827,CUSHION,0.52,VVS2,J,EX,EX,EX,N,4.61,4.51,3.01,1156.87
1667372,OVAL,0.5,SI1,D,EX,EX,VG,N,6.96,4.38,2.56,1808.53
1785678,PRINCESS,0.51,VS1,I,GD,EX,GD,N,4.17,4.02,3.17,1504.15
1670906,PRINCESS,0.5,VVS1,J,EX,EX,GD,N,4.38,4.29,3.12,1430.75
1655896,ROUND,0.59,VS2,I,EX,EX,EX,VS,5.4,5.43,3.33,2110.71
210504-307,PEAR,1.01,SI2,I,EX,EX,EX,M,9.45,5.65,3.25,4458.04
1786718,PRINCESS,0.53,VVS1,I,EX,EX,EX,N,4.48,4.42,3.22,1867.06
1765405,ROUND,0.62,VS1,J,EX,EX,EX,N,5.56,5.57,3.33,2528.05
1764138,PRINCESS,0.32,VS2,D,EX,EX,GD,N,3.87,3.81,2.7,926.46
1789340,ROUND,0.81,VVS2,Q-R,EX,EX,EX,N,5.95,5.98,3.71,1522.1
1773406,ROUND,0.32,SI1,G,EX,VG,EX,N,4.43,4.44,2.73,1082.75
1785730,PRINCESS,0.4,VS1,G,VG,EX,GD,N,4.15,4.09,2.82,1306.74
1800029,HEART,0.3,VS2,G,EX,VG,VG,N,4.11,4.63,2.74,1093.95
1764523,ROUND,0.31,VVS1,D,EX,EX,EX,N,4.3,4.33,2.7,1404.24
210605-785,PEAR,1.6,VS2,G,VG,EX,EX,F,10.03,6.58,3.85,16247.87
1758873,ROUND,0.5,SI1,K,VG,VG,EX,N,5.19,5.21,3.04,1507.62
1796210,PRINCESS,0.5,SI1,G,EX,VG,GD,N,4.41,4.35,3.12,1451.86
1793214,HEART,0.3,SI2,E,EX,EX,GD,N,3.97,4.73,2.8,850.12
1788253,PRINCESS,0.3,VS1,F,EX,EX,VG,N,3.74,3.71,2.69,978.37
1596261,CUSHION,0.81,SI1,G,EX,EX,VG,N,5.46,5.18,3.5,2435.56
1652683,CUSHION,0.81,SI1,E,EX,EX,EX,M,5.76,5.01,3.39,2582.83
1776452,OVAL,0.5,VS1,F,VG,VG,VG,N,6.19,4.43,2.74,1920.85
1668740,ROUND,0.5,VS1,I,EX,EX,VG,F,5.02,5.07,3.17,2074.89
1645993,CUSHION,0.8,SI1,G,EX,EX,EX,N,5.43,5.07,3.42,2689.04
1785661,PRINCESS,0.51,VVS2,J,EX,EX,VG,N,4.33,4.24,3.08,1547.25
1782699,EMERALD,0.4,VS1,F,EX,EX,GD,N,5.03,3.62,2.38,1290.55
1777017,ROUND,0.5,SI2,E,VG,EX,VG,N,4.93,4.97,3.19,2051.69
202243-662,CUSHION,1.0,VS2,M,EX,EX,EX,F,5.66,5.53,3.75,2227.9
1793437,PRINCESS,0.4,SI1,G,EX,VG,GD,N,4.15,4.11,2.9,1155.32
1575622,CUSHION,0.52,SI1,L,EX,EX,VG,N,5.02,4.23,2.88,869.06
1601290,CUSHION,0.5,SI1,FANCY,EX,EX,VG,F,4.44,4.41,2.95,1241.42
1745228,OVAL,0.7,SI1,K,EX,VG,VG,F,6.82,4.99,3.07,1696.13
1785684,PRINCESS,0.51,VS1,J,EX,EX,VG,N,4.53,4.45,3.04,1502.51
1639560,CUSHION,0.75,SI2,F,EX,EX,VG,N,5.57,4.85,3.28,2623.1
1638099,CUSHION,0.9,SI2,D,EX,EX,EX,F,5.37,5.35,3.61,2921.58
200771-265,CUSHION,1.01,SI2,L,EX,EX,EX,M,5.96,5.42,3.68,2053.79
1797216,EMERALD,0.41,VS2,E,EX,VG,VG,M,5.41,3.53,2.19,1309.48
1794308,EMERALD,0.41,VVS1,E,VG,EX,VG,ST,5.61,3.53,2.02,1273.42
1759474,PRINCESS,0.46,VS2,E,EX,EX,VG,N,4.24,4.2,3.04,1454.46
1621840,ROUND,0.5,SI1,I,EX,EX,EX,N,5.06,5.08,3.18,1969.33
1757741,ROUND,0.5,SI2,D,EX,EX,EX,M,5.1,5.13,3.09,2058.5
1781721,PRINCESS,0.51,SI1,F,EX,EX,VG,N,4.34,4.26,3.08,1660.21
1631318,CUSHION,0.8,SI1,E,VG,EX,VG,N,5.48,4.99,3.44,2619.95
1800983,PRINCESS,0.4,VS2,D,VG,EX,GD,N,3.96,3.85,2.88,1283.79
1641644,ROUND,0.51,VS1,J,EX,EX,EX,N,5.18,5.21,3.11,2030.9
1626220,CUSHION,0.8,VS2,E,EX,EX,EX,N,5.37,5.11,3.46,3466.3
1764392,ROUND,0.5,SI1,I,EX,EX,EX,N,5.08,5.11,3.11,2094.06
201173-573,CUSHION,1.5,SI2,E,EX,EX,EX,N,6.77,6.19,4.2,7313.18
1790021,PEAR,0.3,SI1,E,VG,EX,GD,N,5.8,3.68,2.34,899.27
1798609,EMERALD,0.33,VS1,E,EX,VG,GD,F,4.82,3.24,2.14,1013.41
1793205,HEART,0.31,SI1,E,EX,VG,VG,N,4.13,4.67,2.62,998.71
1767177,PRINCESS,0.52,SI1,E,EX,EX,EX,F,4.46,4.39,3.19,1646.55
1671666,ROUND,0.52,VVS2,J,EX,EX,EX,F,5.16,5.18,3.21,2180.11
210511-24,PEAR,1.51,SI1,L,EX,EX,EX,F,10.74,6.32,3.76,7173.99
1761577,EMERALD,0.57,VS2,K,VG,EX,EX,F,5.25,3.95,2.76,1281.12
1626204,CUSHION,0.9,VVS1,K,GD,EX,GD,N,5.44,5.1,3.66,2227.14
210421-213,PEAR,4.09,I1,FANCY,EX,EX,EX,M,12.22,9.02,5.33,16014.16
1658912,CUSHION,0.51,VVS1,G,EX,VG,VG,F,4.99,4.26,2.88,1592.88
1651236,HEART,0.5,SI1,K,VG,GD,VG,N,4.77,5.51,3.07,1062.49
203227-227,CUSHION,0.96,VS1,H,VG,EX,VG,ST,5.49,5.38,3.76,3539.54
1665799,CUSHION,0.5,SI1,F,EX,EX,VG,N,4.88,4.23,2.85,1502.54
1669448,CUSHION,0.81,VS1,M,EX,EX,VG,F,5.79,4.96,3.37,1478.93
1666582,ROUND,0.5,VS1,G,EX,EX,VG,F,5.12,5.16,3.08,2527.87
1655866,ROUND,0.5,VS2,F,EX,EX,EX,F,5.04,5.08,3.17,2568.5
1778090,ROUND,0.52,SI2,D,EX,EX,EX,N,5.13,5.15,3.2,2187.2
1789912,HEART,0.3,VS1,E,EX,VG,GD,N,4.16,4.74,2.67,1060.0
1660175,CUSHION,0.51,VS2,E,EX,EX,GD,N,4.96,4.3,2.91,1582.23
1775629,PRINCESS,0.34,VS2,H,EX,EX,VG,N,3.88,3.84,2.78,952.28
211007-604,CUSHION,1.3,IF,Q-R,EX,VG,EX,F,6.36,5.95,3.95,3723.5
1777719,PRINCESS,0.6,VS2,I,EX,EX,VG,N,4.56,4.5,3.26,1793.23
1774931,ROUND,0.51,SI2,H,EX,EX,EX,F,5.08,5.11,3.19,1970.44
1771717,PRINCESS,0.5,VVS2,G,EX,VG,GD,N,4.36,4.35,3.11,1707.81
1602058,CUSHION,0.51,VVS1,I,EX,EX,EX,N,4.69,4.36,2.96,1411.99
210515-212,PEAR,1.2,VVS2,H,EX,EX,VG,N,9.25,5.98,3.76,9588.25
1667132,CUSHION,0.9,SI2,G,EX,EX,VG,N,5.64,5.49,3.57,3535.96
1642634,PRINCESS,0.5,SI1,E,EX,EX,VG,N,4.53,4.44,3.09,1443.77
1775195,EMERALD,0.4,VVS2,H,VG,EX,FR,N,5.28,3.61,2.11,1137.03
210066-144,OVAL,1.0,I1,L,VG,EX,VG,ST,7.48,5.58,3.55,1802.15
1767180,PRINCESS,0.5,SI1,I,EX,EX,VG,N,4.54,4.45,3.21,1400.2
1755797,PRINCESS,0.5,SI1,G,EX,EX,GD,N,4.33,4.29,3.07,1450.97
1789039,EMERALD,0.3,VVS1,D,EX,GD,GD,F,4.89,3.13,1.88,1028.04
1783764,EMERALD,0.33,VVS1,E,EX,EX,VG,N,4.53,3.32,2.24,1163.48
1638916,ROUND,0.5,VS1,J,EX,EX,EX,F,5.06,5.09,3.12,1977.98
211007-452,CUSHION,1.01,VVS1,O-P,EX,EX,VG,N,6.22,5.4,3.62,2473.38
1666876,ROUND,0.5,SI2,F,EX,EX,EX,N,5.16,5.19,3.1,2096.53
1783766,EMERALD,0.31,VVS1,E,EX,EX,VG,N,4.8,3.16,2.1,1147.0
1783124,PRINCESS,0.52,VS1,J,EX,EX,GD,N,4.48,4.39,3.19,1423.32
1747128,OVAL,0.72,VS1,K,EX,VG,VG,M,7.62,4.77,2.98,1961.21
1774005,ROUND,0.53,VS2,I,EX,EX,EX,F,5.14,5.17,3.23,2083.01
1658278,ROUND,0.7,SI1,L,EX,EX,EX,N,5.68,5.72,3.47,2123.92
1513169,ROUND,0.29,SI1,F,VG,VG,GD,N,4.23,4.3,2.64,897.69
1795797,EMERALD,0.32,SI1,D,VG,VG,VG,F,4.96,3.32,1.93,924.28
1794386,EMERALD,0.3,VVS2,E,EX,EX,GD,N,4.73,3.09,2.04,1014.34
1781581,OVAL,0.5,SI1,F,EX,VG,GD,N,6.7,4.3,2.64,1624.24
1628240,CUSHION,0.8,SI1,G,EX,EX,VG,N,6.04,4.84,3.29,2622.65
201200-101,CUSHION,1.0,VS1,J,EX,EX,VG,N,6.07,5.29,3.59,3514.62
1754876,MARQUISE,0.52,VVS1,D,EX,EX,VG,M,8.49,4.26,2.43,2004.48
1781743,PRINCESS,0.35,VS1,G,VG,VG,GD,N,3.77,3.73,2.72,963.25
1658774,ROUND,0.5,SI2,M,EX,EX,EX,M,5.08,5.11,3.12,1025.4
200650-781,PEAR,1.01,VS2,K,EX,EX,EX,ST,8.68,5.68,3.46,2960.5
1755316,ROUND,0.5,SI1,J,VG,VG,GD,N,4.95,5.01,3.16,1527.02
1769905,PRINCESS,0.51,SI1,J,EX,EX,EX,N,4.4,4.34,3.14,1254.22
1608012,ROUND,0.5,SI1,D,EX,EX,EX,M,5.06,5.09,3.17,1985.15
1775619,PRINCESS,0.4,SI1,E,EX,EX,GD,N,4.15,4.1,2.92,1158.73
1794371,EMERALD,0.3,VVS1,F,EX,EX,GD,N,4.85,3.14,2.03,1044.25
1648834,CUSHION,0.7,SI2,E,VG,EX,VG,N,4.99,4.83,3.37,2053.78
1795892,HEART,0.3,VS2,F,VG,VG,GD,N,3.97,4.77,2.73,1039.76
1637765,ROUND,0.5,SI1,H,EX,EX,EX,F,5.13,5.15,3.15,2187.19
1651023,CUSHION,0.5,SI1,M,EX,EX,VG,F,4.86,4.23,2.87,725.32
1792802,ROUND,0.5,SI1,F,VG,VG,GD,N,5.13,5.17,3.05,2187.06
1786298,ROUND,0.4,VS1,F,EX,EX,VG,N,4.66,4.7,2.94,1539.35
210395-18,PEAR,1.51,SI2,J,VG,EX,EX,M,9.46,6.3,4.03,6840.4
1750523,PRINCESS,0.5,SI1,D,EX,VG,VG,N,4.43,4.41,3.15,1591.14
1789144,MARQUISE,0.3,VS2,D,EX,VG,VG,N,6.66,3.56,2.11,1032.64
1756937,ROUND,0.5,SI2,E,EX,VG,EX,F,5.15,5.18,3.07,2043.41
201229-104,CUSHION,1.2,SI1,J,VG,EX,GD,N,6.11,5.81,4.05,3053.85
210020-139,CUSHION,0.96,VS2,G,EX,EX,EX,M,5.92,5.63,3.52,4166.86
1637124,ROUND,0.7,VS2,L,EX,EX,EX,F,5.64,5.68,3.54,2100.75
1797396,OVAL,0.53,VS1,H,EX,EX,EX,N,6.23,4.62,2.87,2045.27
210343-65,PEAR,1.0,VS1,F,VG,EX,EX,M,8.52,5.63,3.42,7225.17
1629722,CUSHION,0.61,SI2,Y-Z,EX,EX,FR,F,4.82,4.72,3.09,847.83
1627343,ROUND,0.5,VVS2,H,F,VG,VG,N,4.86,4.92,3.25,1950.57
1787957,HEART,0.3,VS2,G,VG,EX,GD,N,3.89,4.68,2.82,985.51
1758209,EMERALD,0.4,VS2,F,VG,GD,GD,N,4.79,3.57,2.41,1139.08
1667672,ROUND,0.51,VVS2,J,EX,EX,EX,N,5.13,5.16,3.17,2109.54
1783145,PRINCESS,0.41,VVS2,G,EX,GD,GD,N,4.28,4.16,2.99,1276.25
1745729,ROUND,0.56,SI2,F,EX,EX,EX,F,5.35,5.39,3.22,2197.73
1589669,OVAL,0.65,SI2,K,EX,EX,VG,N,6.87,4.8,3.02,1126.93
1649179,OVAL,0.65,SI2,H,EX,EX,VG,N,6.61,4.85,2.98,1697.93
1797372,OVAL,0.5,VVS1,F,VG,VG,VG,N,6.67,4.16,2.59,2059.28
200637-296,CUSHION,1.0,SI2,I,EX,EX,VG,N,5.89,5.57,3.67,2829.81
1773020,ROUND,0.5,SI1,E,VG,VG,GD,N,5.03,5.1,3.11,2077.89
1607122,OVAL,0.59,VVS2,H,EX,EX,VG,N,6.85,4.73,2.78,1806.81
1786651,OVAL,0.33,VS1,G,EX,VG,VG,M,5.95,3.89,2.28,984.98
1667285,MARQUISE,0.59,SI2,L,VG,VG,VG,N,8.5,4.35,2.62,1039.49
1665782,CUSHION,0.8,SI1,G,VG,EX,VG,N,5.34,5.0,3.48,2685.07
1671930,CUSHION,0.51,VVS1,F,EX,EX,VG,F,4.91,4.24,2.88,1674.78
1782414,ROUND,0.53,VS2,J,EX,EX,EX,N,5.16,5.18,3.22,2052.37
1746584,ROUND,0.5,SI1,E,VG,EX,GD,N,4.95,4.98,3.15,1969.86
1788376,ROUND,0.7,VS1,L,VG,EX,EX,F,5.49,5.54,3.56,2038.02
1761583,EMERALD,0.43,VVS1,E,EX,VG,GD,N,5.56,3.53,2.09,1429.5
1623687,PRINCESS,0.5,SI1,D,EX,EX,EX,N,4.37,4.36,3.15,1505.96
1759339,HEART,0.31,SI1,E,VG,EX,GD,N,4.24,4.72,2.64,876.06
1750381,OVAL,0.5,VS2,I,EX,EX,VG,M,6.33,4.5,2.66,1400.22
1744048,OVAL,0.5,VVS1,H,EX,EX,VG,N,6.83,4.44,2.62,1731.54
1643509,CUSHION,0.8,SI1,E,EX,EX,VG,N,5.67,4.99,3.33,2922.7
1774913,ROUND,0.5,SI2,E,EX,EX,VG,N,5.15,5.16,3.09,2110.84
1787357,ROUND,0.4,VS2,G,EX,EX,EX,F,4.66,4.69,2.95,1539.93
1619805,OVAL,0.7,SI1,K,EX,VG,VG,F,7.7,4.82,2.85,1472.64
1781742,PRINCESS,0.31,VS1,E,EX,VG,VG,N,3.78,3.71,2.68,956.74
1602307,CUSHION,0.5,VS1,FANCY,EX,EX,EX,N,4.7,4.41,2.98,1257.85
1791553,ROUND,0.3,IF,D,EX,EX,VG,N,4.34,4.36,2.63,1535.06
1780016,PRINCESS,0.3,VS1,F,VG,EX,VG,N,3.66,3.64,2.72,925.17
1636055,CUSHION,0.71,VS2,N,EX,EX,EX,N,5.8,4.64,3.15,1230.89
1785300,HEART,0.3,SI2,F,VG,EX,VG,N,4.16,4.46,2.67,832.33
1787146,ROUND,0.5,SI1,F,VG,EX,GD,N,4.99,5.09,3.11,2053.49
1662745,ROUND,0.5,VS2,H,VG,EX,EX,ST,4.99,5.04,3.17,2067.16
1662801,ROUND,0.5,SI1,E,VG,VG,GD,N,5.03,5.08,3.1,2052.37
1593741,HEART,0.5,SI1,K,EX,VG,VG,F,4.95,5.55,3.12,904.35
200496-137,CUSHION,1.52,SI2,K,EX,EX,EX,N,7.05,6.44,3.89,3536.54
1789158,OVAL,0.7,SI1,J,EX,EX,VG,N,6.99,4.94,3.08,2064.13
1738350,PRINCESS,0.33,VS1,H,EX,GD,FR,F,3.86,3.84,2.75,802.63
1606751,CUSHION,0.8,VS1,I,VG,EX,VG,N,5.44,4.94,3.41,2207.9
1773974,ROUND,0.5,VS2,F,GD,EX,GD,N,4.91,4.96,3.2,2103.41
1750212,EMERALD,0.41,VS1,G,EX,EX,EX,N,4.97,3.67,2.39,1310.14
1755953,ROUND,0.5,VVS1,E,VG,EX,VG,ST,5.14,5.2,3.06,2331.36
1786749,PRINCESS,0.3,VVS2,D,EX,EX,GD,N,3.84,3.77,2.54,981.47
1798573,EMERALD,0.3,VVS1,F,EX,EX,GD,N,4.4,3.25,2.19,1044.25
1769513,EMERALD,0.4,VS1,H,EX,EX,VG,N,4.9,3.59,2.27,1284.47
1648823,CUSHION,0.83,SI1,G,EX,EX,VG,N,5.34,5.21,3.54,2425.61
1643677,OVAL,0.51,SI1,F,EX,EX,EX,N,6.79,4.46,2.66,1663.21
1604692,ROUND,0.53,SI1,E,EX,EX,EX,F,5.2,5.22,3.18,2186.82
1782949,OVAL,0.5,VS1,H,VG,EX,VG,F,6.09,4.52,2.8,1650.32
1791299,PRINCESS,0.5,VS2,D,EX,EX,VG,N,4.43,4.4,3.05,1939.41
1657785,EMERALD,0.5,SI2,E,VG,VG,GD,F,5.08,3.85,2.65,1165.48
1799450,ROUND,0.3,VS1,H,EX,EX,EX,N,4.36,4.38,2.62,1162.92
1606764,CUSHION,0.8,VS2,G,EX,EX,EX,N,5.59,5.09,3.43,2902.28
1651541,OVAL,0.58,SI2,I,EX,EX,VG,M,6.96,4.62,2.78,1177.26
1751191,ROUND,0.5,SI1,D,EX,EX,EX,ST,5.1,5.12,3.17,2085.63
1774451,OVAL,0.5,VS1,H,EX,EX,VG,F,6.75,4.48,2.62,1683.38
1786217,ROUND,0.5,SI1,F,EX,EX,EX,N,5.07,5.1,3.18,2508.86
200771-179,CUSHION,1.09,SI1,H,EX,VG,VG,F,6.4,5.49,3.72,4171.01
1756700,PRINCESS,0.56,SI2,F,EX,VG,VG,N,4.56,4.51,3.24,1541.82
1798740,OVAL,0.5,VVS2,J,EX,EX,VG,N,6.96,4.41,2.56,1597.9
1641116,PRINCESS,0.5,VS1,D,EX,VG,VG,N,4.47,4.44,3.19,1874.41
1796686,ROUND,0.5,VS2,E,GD,VG,GD,N,4.93,4.96,3.23,2094.92
1522553,CUSHION,0.9,SI2,K,EX,EX,VG,N,5.82,5.32,3.58,1766.67
1584392,CUSHION,0.8,VS2,G,EX,EX,EX,N,5.25,5.19,3.52,2896.8
1661858,ROUND,0.7,VS1,L,VG,EX,VG,F,5.48,5.56,3.58,1983.44
1769886,PRINCESS,0.7,SI2,J,VG,EX,VG,N,4.74,4.73,3.54,1812.12
1800762,HEART,0.3,VS2,D,GD,VG,VG,N,3.73,4.53,2.82,1037.17
1634792,ROUND,0.5,VS1,FANCY,EX,EX,EX,N,5.12,5.15,3.13,2322.91
1772592,HEART,0.31,VS2,I,EX,EX,VG,F,4.09,4.74,2.67,815.8
1783114,PRINCESS,0.5,VS1,E,VG,EX,VG,N,4.33,4.28,3.17,1876.91
1783160,PRINCESS,0.31,VS1,E,EX,EX,GD,N,3.74,3.7,2.65,928.47
1780583,ROUND,0.5,VVS2,J,EX,EX,EX,F,5.07,5.09,3.13,2048.45
1784546,ROUND,0.5,SI1,J,GD,EX,GD,N,4.84,4.91,3.22,1521.07
1785735,PRINCESS,0.4,VS2,I,VG,EX,VG,N,3.92,3.86,2.86,1055.32
1631308,CUSHION,0.8,VVS1,J,EX,EX,VG,N,5.45,5.03,3.41,2239.4
1772126,ROUND,0.5,SI2,E,VG,EX,VG,N,4.95,4.97,3.21,2040.81
200761-138,CUSHION,1.41,SI1,U-V,EX,EX,EX,N,6.3,6.14,4.16,3173.58
1589370,CUSHION,0.75,VS1,L,EX,EX,VG,F,5.7,4.78,3.23,1437.68
1777410,EMERALD,0.41,VS2,F,EX,EX,GD,F,5.18,3.5,2.27,1275.51
1664660,OVAL,0.5,VS2,M,VG,EX,GD,ST,6.56,4.44,2.64,770.27
1608703,OVAL,0.5,SI2,F,EX,EX,VG,N,6.17,4.47,2.74,1403.95
1747454,ROUND,0.57,VS1,K,EX,EX,EX,N,5.29,5.32,3.32,1515.25
1593495,CUSHION,0.91,VS2,J,EX,EX,EX,N,6.07,5.2,3.48,2680.97
1799873,EMERALD,0.34,VS2,D,EX,EX,GD,N,4.88,3.28,2.18,1055.71
1791124,HEART,0.31,VS1,H,EX,VG,GD,N,4.2,4.73,2.77,1063.67
1796197,PRINCESS,0.5,VS2,H,EX,EX,VG,N,4.44,4.37,3.02,1786.5
1646815,ROUND,0.51,VS1,J,EX,EX,EX,N,5.08,5.12,3.19,2059.12
1777526,MARQUISE,0.5,VS1,D,EX,VG,GD,N,8.83,4.01,2.3,2007.94
1407964,OVAL,0.71,SI1,FANCY,EX,VG,GD,ST,7.69,4.96,2.98,2243.65
1798782,PEAR,0.52,IF,H,EX,EX,EX,N,7.05,4.51,2.73,2099.32
1741066,ROUND,0.5,SI2,E,VG,EX,EX,N,5.05,5.06,3.16,2023.07
1799831,EMERALD,0.33,VS1,D,EX,EX,VG,N,4.92,3.21,2.16,1158.38
1658395,ROUND,0.5,VS1,D,VG,EX,VG,N,5.04,5.08,3.18,2568.78
1638926,ROUND,0.59,VS1,M,EX,EX,EX,N,5.36,5.39,3.35,1382.23
1651013,CUSHION,0.52,VVS1,I,EX,EX,VG,F,4.6,4.49,3.03,1292.65
1791016,EMERALD,0.4,VVS2,H,VG,EX,VG,F,5.01,3.53,2.42,1183.0
1648369,ROUND,0.5,VS2,F,EX,EX,VG,N,5.06,5.09,3.16,2448.26
1779784,EMERALD,0.5,VS1,J,EX,EX,VG,N,5.14,3.81,2.6,1291.19
1642246,CUSHION,0.7,SI1,E,VG,EX,VG,N,5.12,4.85,3.27,2196.69
1756421,EMERALD,0.4,VS1,F,VG,EX,VG,N,4.95,3.48,2.38,1292.63
1663369,OVAL,0.7,SI2,K,EX,EX,VG,N,7.76,4.86,2.8,1680.88
1572841,OVAL,0.57,SI2,FANCY,EX,VG,GD,F,6.47,4.38,2.66,1318.52
1787965,HEART,0.31,SI1,D,EX,EX,GD,F,4.24,4.71,2.71,1022.8
1649286,PRINCESS,0.8,SI2,J,EX,EX,GD,N,5.04,5.03,3.66,1932.33
1762526,ROUND,0.51,SI2,F,EX,VG,EX,N,5.09,5.12,3.2,2080.8
200683-60,CUSHION,1.22,SI2,H,EX,EX,VG,N,5.97,5.94,4.0,3539.38
200709-15,PEAR,1.2,SI2,E,VG,VG,VG,N,9.13,6.05,3.54,5413.8
1790099,OVAL,0.47,SI1,FANCY,EX,EX,VG,ST,6.44,4.12,2.4,1864.64
211124-246,PEAR,1.67,SI1,H,VG,EX,VG,M,10.88,6.34,4.04,13643.46
200781-157,CUSHION,1.0,VS2,G,EX,EX,EX,N,5.88,5.41,3.67,4994.6
211003-1076,CUSHION,1.32,IF,D,EX,EX,EX,VS,6.42,6.03,4.04,11502.51
1777402,EMERALD,0.41,VVS2,H,EX,VG,GD,N,5.09,3.49,2.28,1262.33
1767527,ROUND,0.5,VS2,F,VG,VG,GD,N,5.12,5.14,3.0,2348.26
1775572,PEAR,0.3,VS2,D,VG,EX,GD,N,5.54,3.72,2.3,904.91
1779284,ROUND,0.5,SI2,F,EX,EX,EX,N,5.05,5.09,3.16,2109.14
1769891,PRINCESS,0.5,VS1,E,EX,EX,VG,N,4.34,4.33,3.09,1796.54
1755730,OVAL,0.51,SI2,I,EX,VG,VG,N,6.18,4.59,2.89,1308.57
201203-162,CUSHION,2.0,SI1,D,EX,EX,EX,N,7.78,6.76,4.53,17787.42
1761815,OVAL,0.59,SI2,D,EX,VG,VG,N,6.42,4.78,2.94,1692.21
1740372,PRINCESS,0.5,SI1,I,EX,EX,VG,N,4.44,4.39,3.15,1442.43
1623495,CUSHION,0.8,SI1,H,EX,EX,EX,N,5.25,5.18,3.51,2379.12
1659098,OVAL,0.5,SI1,E,EX,EX,VG,N,6.61,4.4,2.69,1749.78
1659824,ROUND,0.5,SI1,F,GD,VG,VG,N,5.05,5.11,3.11,2028.32
1784496,ROUND,0.5,SI1,F,EX,EX,EX,N,5.1,5.12,3.12,2508.86
